pair_id,research_query_id,acquisition_query_id,openalex_id,title,doi,landing_page_url,source_query_ids,source_run_ids,openalex_id_status,doi_missing,abstract_missing,landing_page_url_missing,source_query_ids_status,source_run_ids_status,expected_acquisition_query_in_source_query_ids,metadata_matches_source,cross_rq_paper,cross_rq_research_query_ids,provenance_status,annotation_evidence_note,audit_note
w4_rq01_014,rq01_stellar_classification,q02_classification,https://openalex.org/W3155899199,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,10.1109/access.2021.3071801,https://doi.org/10.1109/access.2021.3071801,"[""q02_classification"",""q04_preprocessing""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,true,"[""rq01_stellar_classification"",""rq03_spectral_preprocessing""]",ok,,跨 Research Query 共现；来源记录一致，relevance 仍需按各 Query 独立判断。
w4_rq01_015,rq01_stellar_classification,q02_classification,https://openalex.org/W2899864468,Machine Learning Applied to Star–Galaxy–QSO Classification and Stellar Effective Temperature Regression,10.3847/1538-3881/aaf009,https://doi.org/10.3847/1538-3881/aaf009,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_016,rq01_stellar_classification,q02_classification,https://openalex.org/W4312712330,Experimental Analysis of Stellar Classification by using Different Machine Learning Algorithms,10.1109/i4tech55392.2022.9952964,https://doi.org/10.1109/i4tech55392.2022.9952964,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_017,rq01_stellar_classification,q02_classification,https://openalex.org/W2078829410,Classification of Spectra of Emission Line Stars Using Machine Learning Techniques,10.1007/s11633-014-0789-2,https://doi.org/10.1007/s11633-014-0789-2,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,true,false,ok,ok,true,true,false,[],ok,摘要缺失；若标题不足，应升级到可靠外部页面核验。,
w4_rq01_018,rq01_stellar_classification,q02_classification,https://openalex.org/W4306248068,"Machine learning in electron microscopy for advanced nanocharacterization: current developments, available tools and future outlook",10.1039/d2nh00377e,https://doi.org/10.1039/d2nh00377e,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_019,rq01_stellar_classification,q02_classification,https://openalex.org/W2375984290,Stellar classification from single-band imaging using machine learning,10.1051/0004-6361/201628660,https://doi.org/10.1051/0004-6361/201628660,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_020,rq01_stellar_classification,q02_classification,https://openalex.org/W2611629499,X-rays across the galaxy population – II. The distribution of AGN accretion rates as a function of stellar mass and redshift,10.1093/mnras/stx2700,https://doi.org/10.1093/mnras/stx2700,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_001,rq02_stellar_parameters,q03_parameters,https://openalex.org/W1653774948,Nucleosynthesis in Stellar Explosions,10.1007/978-94-009-6348-1_22,https://doi.org/10.1007/978-94-009-6348-1_22,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,true,false,ok,ok,true,true,false,[],ok,摘要缺失；若标题不足，应升级到可靠外部页面核验。,
w4_rq02_002,rq02_stellar_parameters,q03_parameters,https://openalex.org/W3106471209,Dissecting stellar chemical abundance space with t-SNE,10.1051/0004-6361/201833099/pdf,http://hdl.handle.net/10183/204135,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_003,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2594445930,"An Empirical Template Library of Stellar Spectra for a Wide Range of Spectral Classes, Luminosity Classes, and Metallicities Using SDSS BOSS Spectra",10.3847/1538-4365/aa656d,https://doi.org/10.3847/1538-4365/aa656d,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_004,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2211251945,Stellar parametrization from<i>Gaia</i>RVS spectra,10.1051/0004-6361/201425030,https://doi.org/10.1051/0004-6361/201425030,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_005,rq02_stellar_parameters,q03_parameters,https://openalex.org/W3107253413,Investigating the young AU Mic system with SPIRou: large-scale stellar magnetic field and close-in planet mass,10.1093/mnras/staa3702,https://doi.org/10.1093/mnras/staa3702,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_006,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2043055070,A PCA approach to stellar effective temperatures,10.1051/0004-6361/201220961,https://doi.org/10.1051/0004-6361/201220961,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_007,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2797439311,Binary Companions of Evolved Stars in APOGEE DR14: Search Method and Catalog of ∼5000 Companions,10.3847/1538-3881/aac387,https://doi.org/10.3847/1538-3881/aac387,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_008,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2032231736,Estimation of stellar atmospheric parameters from SDSS/SEGUE spectra,10.1051/0004-6361:20077334,https://doi.org/10.1051/0004-6361:20077334,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_009,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2900811782,Accuracy and Precision of Industrial Stellar Abundances,10.1146/annurev-astro-091918-104509,https://doi.org/10.1146/annurev-astro-091918-104509,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_010,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2072609734,A Gemini ground-based transmission spectrum of WASP-29b: a featureless spectrum from 515 to 720 nm,10.1093/mnras/sts307,https://doi.org/10.1093/mnras/sts307,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_011,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2795071146,Dissecting stellar chemical abundance space with t-SNE,10.1051/0004-6361/201833099,https://doi.org/10.1051/0004-6361/201833099,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_012,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2969434441,Deriving the Stellar Labels of LAMOST Spectra with the Stellar LAbel Machine (SLAM),10.3847/1538-4365/ab55ef,https://doi.org/10.3847/1538-4365/ab55ef,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_013,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2139768786,Oscillation frequencies for 35<i>Kepler</i>solar-type planet-hosting stars using Bayesian techniques and machine learning,10.1093/mnras/stv2593,https://doi.org/10.1093/mnras/stv2593,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_014,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2777402735,Carbon Stars Identified from LAMOST DR4 Using Machine Learning,10.3847/1538-4365/aaa415,https://doi.org/10.3847/1538-4365/aaa415,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,true,"[""rq01_stellar_classification"",""rq02_stellar_parameters""]",ok,,跨 Research Query 共现；来源记录一致，relevance 仍需按各 Query 独立判断。
w4_rq02_015,rq02_stellar_parameters,q03_parameters,https://openalex.org/W3161474384,Internal mixing of rotating stars inferred from dipole gravity modes,10.1038/s41550-021-01351-x,https://doi.org/10.1038/s41550-021-01351-x,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,true,false,ok,ok,true,true,false,[],ok,摘要缺失；若标题不足，应升级到可靠外部页面核验。,
w4_rq02_016,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2740236269,The Fourteenth Data Release of the Sloan Digital Sky Survey: First Spectroscopic Data from the Extended Baryon Oscillation Spectroscopic Survey and from the Second Phase of the Apache Point Observatory Galactic Evolution Experiment,10.3847/1538-4365/aa9e8a,https://doi.org/10.3847/1538-4365/aa9e8a,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_017,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2006997511,Automatic stellar spectra parameterisation in the IR Ca ii triplet region,10.1051/0004-6361/201117372,https://doi.org/10.1051/0004-6361/201117372,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_018,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2531334071,The RAVE-on Catalog of Stellar Atmospheric Parameters and Chemical Abundances for Chemo-dynamic Studies in the Gaia Era,10.3847/1538-4357/aa69c2,https://doi.org/10.3847/1538-4357/aa69c2,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
