pair_id,left_id,right_id,left_title,right_title,title_similarity,author_overlap,year_difference,doi_relation,suspected_reason,recommended_action,review_status,reviewer_note,left_keyword,right_keyword,left_run_id,right_run_id,created_at
SP-8d2fce71,https://openalex.org/W2127375519,https://openalex.org/W3101896622,A MACHINE-LEARNING METHOD TO INFER FUNDAMENTAL STELLAR PARAMETERS FROM PHOTOMETRIC LIGHT CURVES,A Machine Learning Method to Infer Fundamental Stellar Parameters from Photometric Light Curves,1.0,1.0,1,one_missing,title_very_high_similarity|author_high_overlap|year_close,manual_review,pending,,machine learning stellar spectra,machine learning stellar spectra,run001_ml_stellar_spectra,run001_ml_stellar_spectra,2026-08-03T13:56:56+00:00
SP-fe25e871,https://openalex.org/W2164255929,https://openalex.org/W3099811482,An active instance-based machine learning method for stellar population studies,An Active Instance-based Machine Learning method for Stellar Population Studies,1.0,1.0,0,one_missing,title_very_high_similarity|author_high_overlap|year_close,manual_review,pending,,machine learning stellar spectra,machine learning stellar spectra,run001_ml_stellar_spectra,run001_ml_stellar_spectra,2026-08-03T13:56:56+00:00
